2023-03-02 00:40:01 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: .shopping_cart_link
2023-03-02 00:40:01 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: .shopping_cart_link
2023-03-02 00:40:01 INFO  WebEventListener:55 - Clicking on button: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: .shopping_cart_link]
2023-03-02 00:40:01 INFO  WebEventListener:60 - Clicked on: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: .shopping_cart_link]
2023-03-02 00:40:01 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #checkout
2023-03-02 00:40:01 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #checkout
2023-03-02 00:40:01 INFO  WebEventListener:55 - Clicking on button: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #checkout]
2023-03-02 00:40:01 INFO  WebEventListener:60 - Clicked on: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #checkout]
2023-03-02 00:40:01 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #first-name
2023-03-02 00:40:01 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #first-name
2023-03-02 00:40:01 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #last-name
2023-03-02 00:40:01 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #last-name
2023-03-02 00:40:01 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #postal-code
2023-03-02 00:40:01 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #postal-code
2023-03-02 00:40:01 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #continue
2023-03-02 00:40:01 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #continue
2023-03-02 00:40:01 INFO  WebEventListener:55 - Clicking on button: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #continue]
2023-03-02 00:40:01 INFO  WebEventListener:60 - Clicked on: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #continue]
